Name,Lifetime,Nationality,Notable as,Orientation,Sex,Era,Name.old
 Au Alex,1952,Singaporean,"LGBT rights activist, writer",G,M,AD,"Au, AlexAlex Au"
 Aucoin Kevyn,1962-2002,American,Make-up artist,G,M,AD,"Aucoin, KevynKevyn Aucoin"
 Auden W H,1907-1973,British,Poet,G,M,AD,"Auden, W. H.W. H. Auden"
 August John,1970,American,Screenwriter,G,M,AD,"August, JohnJohn August"
 Augustus Seimone,1984,American,Basketball player,L,F,AD,"Augustus, SeimoneSeimone Augustus"
 Ausiello Michael,1972,American,Television journalist,G,M,AD,"Ausiello, MichaelMichael Ausiello"
 Avedisian Edward,1936-2007,American,Painter,G,M,AD,"Avedisian, EdwardEdward Avedisian"
 Aviance Kevin,1968,American,Entertainer,G,M,AD,"Aviance, KevinKevin Aviance"
 Axgil Axel and Eigil,1915-2011,Danish,First gay couple in the world joined in a civil union,G,M,AD,"Axgil, Axel and EigilAxel and Eigil Axgil"
 Ayres Tony,1961,Australian,"Film director, screenwriter",G,M,AD,"Ayres, TonyTony Ayres"
 Azar Assi,1979,Israel,Television personality,G,M,AD,"Azar, AssiAssi Azar"
 Azis,1978,Romani-Bulgarian,Chalga singer,G,M,AD,Azis
 Lisa B,�,Canadian,Poet,B,F,AD,Lisa B
 Jamie Babbit,1970,American,Film and television director,L,F,AD,Jamie Babbit
 Paul Babeu,1969,American,Politician,G,M,AD,Paul Babeu
 Babur,1483-1530,Indian/Mughal,Emperor and founder of the Mughal Empire in the Indian subcontinent,B,M,AD,Babur
 Babydaddy,1976,American,Rock musician,G,M,AD,Babydaddy
 Peter Bacanovic,1962,American,"Stockbroker, defendant in ImClone trial",G,M,AD,Peter Bacanovic
 Don Bachardy,1934,American,Artist,G,M,AD,Don Bachardy
 Ruth Badger,1978,British,"Reality show contestant, television presenter, business consultant",L,F,AD,Ruth Badger
 Joan Baez,1941,American,Folk musician,B,F,AD,Joan Baez
 Bai Ling,1966,American,Actress,B,F,AD,Bai Ling
 Paul Bailey,1937,British,Writer,G,M,AD,Paul Bailey
 Sheryl Bailey,1966,American,Jazz musician,L,F,AD,Sheryl Bailey
 Simon Bailey,1955-1995,British,Anglican priest,G,M,AD,Simon Bailey
 Jon Robin Baitz,1961,American,"Playwright, television producer",G,M,AD,Jon Robin Baitz
 Jack Baker,1942,American,"Attorney, LGBT rights activist",G,M,AD,Jack Baker
 James Robert Baker,1946-1997,American,Author,G,M,AD,James Robert Baker
 Josephine Baker,1906-1975,American,Entertainer,B,F,AD,Josephine Baker
 John Roman Baker,1944,British,Playwright,G,M,AD,John Roman Baker
 Marina Baker,1967,British,"Writer, politician",B,F,AD,Marina Baker
 John Balance,1962-2004,British,Rock and experimental musician,G,M,AD,John Balance
 Kuwasi Balagoon,1946-1986,American,"Black Panther, writer",B,M,AD,Kuwasi Balagoon
 Clare Balding,1971,British,BBC sports journalist,L,F,AD,Clare Balding
 Long John Baldry,1941-2005,British,Blues-rock musician,G,M,AD,Long John Baldry
 Ireland Baldwin,1995,American,Model,B,F,AD,Ireland Baldwin
 James Baldwin,1924-1987,American,Writer,G,M,AD,James Baldwin
 Oliver Baldwin 2nd Earl of Bewdley,1899-1958,British,Politician,G,M,AD,"Oliver Baldwin, 2nd Earl Baldwin of Bewdley"
 Tammy Baldwin,1962,American,"Politician, first openly gay U.S. Senator in history.",L,F,AD,Tammy Baldwin
 Cristobal Balenciaga,1885-1972,Spanish,Fashion designer,G,M,AD,Cristóbal Balenciaga
 Alan Ball,1957,American,Screenwriter,G,M,AD,Alan Ball
 Amy Balliett,1982,American,LGBT rights activist,L,F,AD,Amy Balliett
 Ann Bancroft,1955,American,First woman to reach the North Pole,L,F,AD,Ann Bancroft
 Herman Bang,1857-1912,Danish,Writer,G,M,AD,Herman Bang
 Tallulah Bankhead,1902-1968,American,Actress,B,F,AD,Tallulah Bankhead
 Azealia Banks,1991,American,Musician,B,F,AD,Azealia Banks
 Briana Banks,1978,American,Porn star,B,F,AD,Briana Banks
 Christopher Banks,1977,New Zealander,"Music producer, journalist",G,M,AD,Christopher Banks
 Kaushalya Bannerji,�,Canadian,Poet,L,F,AD,Kaushalya Bannerji
 Ann Bannon,1932,American,Author,L,F,AD,Ann Bannon
 Patricia Barber,1956,American,Jazz musician,L,F,AD,Patricia Barber
 Samuel Barber,1910-1981,American,Classical music composer,G,M,AD,Samuel Barber
 Jillian Barberie,1966,American,Television host,B,F,AD,Jillian Barberie
 Paris Barclay,1956,American,Television director,G,M,AD,Paris Barclay
 Alexander Bard,1961,Swedish,Pop musician,B,M,AD,Alexander Bard
 Jean Pierre Barda,1967,Swedish,"Musician, actor",B,M,AD,Jean-Pierre Barda
 Clive Barker,1952,British,"Author, film director",G,M,AD,Clive Barker
 Gregory Barker,1966,British,Politician,G,M,AD,Gregory Barker
 R H Barlow,1918-1951,American,"Writer, anthropologist",G,M,AD,R. H. Barlow
 Djuna Barnes,1892-1982,American,Writer,B,M,AD,Djuna Barnes
 Fred Barnes,1885-1938,British,Entertainer,G,M,AD,Fred Barnes
 Hazel Barnes,1915-2008,American,Philosopher,L,F,AD,Hazel Barnes
 Micah Barnes,1960,Canadian,Pop musician,G,M,AD,Micah Barnes
 Rev Paul Barnes,1954,American,Clergy,G,M,AD,Rev. Paul Barnes
 Richard Barnes,1947,British,Politician,G,M,AD,Richard Barnes
 James Barnett,1986,American,Activist,G,M,AD,James Barnett
 Lisa A Barnett,1958-2006,American,Science Fiction and fantasy writer,L,F,AD,Lisa A. Barnett
 Tim Barnett,1958,New Zealander,Member of the Parliament of New Zealand,G,M,AD,Tim Barnett
 Natalie Clifford Barney,1876-1972,American,Writer,L,F,AD,Natalie Clifford Barney
 Frank A Barnhart,�,American,"Actor, producer, director",G,M,AD,Frank A. Barnhart
 Andrew Barr,1973,Australian,Politician,G,M,AD,Andrew Barr
 Jean Barraque,1928-1973,French,Classical music composer,G,M,AD,Jean Barraqué
 Amanda Barrett,1979,American,Pop musician,L,F,AD,Amanda Barrett
 Amanda Barrie,1935,British,Actress,B,F,AD,Amanda Barrie
 John Barrowman,1967,British,Actor,G,M,AD,John Barrowman
 Drew Barrymore,1975,American,Actress,B,F,AD,Drew Barrymore
 Michael Barrymore,1952,British,Entertainer,G,M,AD,Michael Barrymore
 Richmond Barthe,1901-1989,American,Sculptor,G,M,AD,Richmond Barthé
 Paul Bartel,1938-2000,American,"Actor, writer, director",G,M,AD,Paul Bartel
 Roland Barthes,1915-1980,French,Literary theorist,G,M,AD,Roland Barthes
 Chris Bartlett,1966,American,Activist,G,M,AD,Chris Bartlett
 Neil Bartlett,1958,British,Playwright,G,M,AD,Neil Bartlett
 Jason Bartlett,�,American,Politician,G,M,AD,Jason Bartlett
 Lance Bass,1979,American,Pop musician,G,M,AD,Lance Bass
 Bruce Bastian,1948,American,Businessman,G,M,AD,Bruce Bastian
 Alan Bates,1934-2003,British,Actor,B,M,AD,Alan Bates
 Katharine Lee Bates,1859-1929,American,Songwriter,L,F,AD,Katharine Lee Bates
 Baton Bob,�,American,Performance artist,G,M,AD,Baton Bob
 Bryan Batt,1963,American,Actor,G,M,AD,Bryan Batt
 Deborah Batts,1947,American,Federal District Judge,L,F,AD,Deborah Batts
 Robert Bauman,1937,American,Politician,G,M,AD,Robert Bauman
 Bruce Bawer,1956,American,Writer,G,M,AD,Bruce Bawer
 Betty Baxter,1952,Canadian,"Politician, athlete",L,F,AD,Betty Baxter
 Meredith Baxter,1947,American,Actress,L,F,AD,Meredith Baxter
 Howard Bayless,1965,American,Politician,G,M,AD,Howard Bayless
 Jaime Bayly,1965,Peruvian,Writer,B,F,AD,Jaime Bayly
 Gary Beach,1947,American,Actor,G,M,AD,Gary Beach
 Rikki Beadle Blair,1962,British,"Actor, writer",G,M,AD,Rikki Beadle-Blair
 Simon Russell Beale,1961,British,Actor,G,M,AD,Simon Russell Beale
 Billy Bean,1964,American,Baseball player,G,M,AD,Billy Bean
 James Beard,1903-1985,American,Chef and food writer,G,M,AD,James Beard
 Amanda Bearse,1958,American,"Actress, director",L,F,AD,Amanda Bearse
 Cecil Beaton,1904-1980,British,Photographer,G,M,AD,Cecil Beaton
 Bianca Beauchamp,1977,Canadian,Adult model,B,F,AD,Bianca Beauchamp
 William Lygon 7th Earl Beauchamp,1872-1938,British,"Peer of the Realm, Liberal politician, Lord Warden of the Cinque Ports",B,M,AD,"William Lygon, 7th Earl Beauchamp"
