Name,Lifetime,Nationality,Notable as,Orientation,Sex,Era,Name.old
 Mc Guinn Patrick,1966,American,Director,G,M,AD,"McGuinn, PatrickPatrick McGuinn"
 Mc Intosh Maggie,1947,American,"Politician, first openly gay person in the Maryland General Assembly",L,F,AD,"McIntosh, MaggieMaggie McIntosh"
 Mc Kay Claude,1889-1948,Jamaican,Writer,B,F,AD,"McKay, ClaudeClaude McKay"
 Mc Kay Molly,1970,American,"Attorney, LGBT rights activist",L,F,AD,"McKay, MollyMolly McKay"
 Mc Kellen Ian,1939,British,"Actor, LGBT rights activist",G,M,AD,"McKellen, IanIan McKellen"
 Mc Kenney Todd,1965,Australian,Actor,G,M,AD,"McKenney, ToddTodd McKenney"
 Mc Keon Larry,1944-2008,American,Politician,G,M,AD,"McKeon, LarryLarry McKeon"
 Mc Keown Erin,1977,American,Pop musician,L,F,AD,"McKeown, ErinErin McKeown"
 Mc Kinnon Kate,1983,American,Comedian,L,F,AD,"McKinnon, KateKate McKinnon"
 Mc Kusick Marshall Kirk,1954,American,Computer scientist,G,M,AD,"McKusick, Marshall KirkMarshall Kirk McKusick"
 Mc Lean Andrew,,American,Politician,G,M,AD,"McLean, AndrewAndrew McLean"
 Mc Lean Colin,1978,Australian,"Drag queen, fashion designer",G,M,AD,"McLean, ColinColin McLean"
 Mc Laren Norman,1914-1987,Canadian,"Animator, film director",G,M,AD,"McLaren, NormanNorman McLaren"
 Mc Leod Samantha,1985,Canadian,Actor,L,F,AD,"McLeod, SamanthaSamantha McLeod"
 Mc Nab Claire,1940,Australian,Writer,L,F,AD,"McNab, ClaireClaire McNab"
 Mc Nally Terrence,1939,American,Playwright,G,M,AD,"McNally, TerrenceTerrence McNally"
 Mc Neill John J,1925-2015,American,Priest and author,G,M,AD,"McNeill, John J.John J. McNeill"
 Mc Nichol Kristy,1962,American,Actor,L,F,AD,"McNichol, KristyKristy McNichol"
 Mc Phee Colin,1900-1964,Canadian,"20th century classical composer, ethnomusicologist",G,M,AD,"McPhee, ColinColin McPhee"
 Mc Queen Alexander,1969-2010,British,Fashion designer,G,M,AD,"McQueen, AlexanderAlexander McQueen"
 Mc Rae Carmen,1920-1994,American,Jazz musician,L,F,AD,"McRae, CarmenCarmen McRae"
 Mc Reynolds David,1929,American,"Politician, activist",G,M,AD,"McReynolds, DavidDavid McReynolds"
 Mc Williams Peter,1940-2000,American,"Writer, activist",G,M,AD,"McWilliams, PeterPeter McWilliams"
 Mc Vicar David,1967,Scottish,Opera director,G,M,AD,"McVicar, DavidDavid McVicar"
 Meaker Marijane,1927,American,Writer,L,F,AD,"Meaker, MarijaneMarijane Meaker"
 Medalen Linda,1965,Norwegian,Football player,L,F,AD,"Medalen, LindaLinda Medalen"
 Medici Gian Gastone,1671-1737,Tuscan,Last Medici Grand Duke,G,M,AD,"Medici, Gian GastoneGian Gastone Medici"
 Medina Benny,1958,American,"Talent agent, producer",G,M,AD,"Medina, BennyBenny Medina"
 Medley Robert,1905-1994,English,Artist,G,M,AD,"Medley, RobertRobert Medley"
 Medlock Mark,1978,German,Singer,G,M,AD,"Medlock, MarkMark Medlock"
 Medrano Benjamin,,Mexican,Politician; first openly gay mayor ever elected in Mexico.,G,M,AD,"Medrano, BenjaminBenjamin Medrano"
 Meece Lauren,1983,American,Olympic judoka,L,F,AD,"Meece, LaurenLauren Meece"
 Meek Joe,1929-1967,British,Record producer,G,M,AD,"Meek, JoeJoe Meek"
 Mehlman Ken,1966,American,"Businessman, Campaign Mgr for George W. Bush",G,M,AD,"Mehlman, KenKen Mehlman"
 Mehretu Julie,1970,American,Artist,L,F,AD,"Mehretu, JulieJulie Mehretu"
 Meigs Mary,1917-2002,American,"Painter, writer",L,F,AD,"Meigs, MaryMary Meigs"
 Meldrum Ian,1946,Australian,"Popular music critic, journalist, musical entrepreneur",G,M,AD,"Meldrum, IanIan Meldrum"
 Mell Deb,1968,American,Politician,L,F,AD,"Mell, DebDeb Mell"
 Melvoin Wendy,1964,American,"Musician, TV and film composer",L,F,AD,"Melvoin, WendyWendy Melvoin"
 Menard Real,1962,Canadian,Member of Parliament,G,M,AD,"Ménard, RéalRéal Ménard"
 Mendelson Charlotte,1972,English,Writer,L,F,AD,"Mendelson, CharlotteCharlotte Mendelson"
 Mendez Rosie,1963,Puerto Rican,Politician,L,F,AD,"Mendez, RosieRosie Mendez"
 Mendes Rosa,1979,Canadian,Pro Wrestler,B,F,AD,"Mendes, RosaRosa Mendes"
 Menotti Gian Carlo,1911-2007,American,20th century classical composer,G,M,AD,"Menotti, Gian CarloGian Carlo Menotti"
 Merasty Billy,1960,First Nations-Canadian,"Actor, writer",G,M,AD,"Merasty, BillyBilly Merasty"
 Merced Jorge,1965,Puerto Rican,Theatre actor and director,G,M,AD,"Merced, JorgeJorge Merced"
 Mercer Rick,1969,Canadian,"Television personality, political satirist",G,M,AD,"Mercer, RickRick Mercer"
 Merchant Ismail,1936-2005,Indian-born British,Film producer,G,M,AD,"Merchant, IsmailIsmail Merchant"
 Mercury Freddie,1946-1991,British,Rock musician,B,M,AD,"Mercury, FreddieFreddie Mercury"
 Meredith Jr William Morris,1919-2007,American,Poet,G,M,AD,"Meredith, Jr., William MorrisWilliam Morris Meredith, Jr."
 Merrell Billy,1982,American,Writer,G,M,AD,"Merrell, BillyBilly Merrell"
 Merritt Rich,1967,American,"Writer, attorney",G,M,AD,"Merritt, RichRich Merritt"
 Merritt Stephin,1965,American,Songwriter,G,M,AD,"Merritt, StephinStephin Merritt"
 Mew Charlotte,1869-1928,English,Poet,L,F,AD,"Mew, CharlotteCharlotte Mew"
 Meza Robert,,American,Politician,G,M,AD,"Meza, RobertRobert Meza"
 Michael George,1963,British,Pop musician,G,M,AD,"Michael, GeorgeGeorge Michael"
 Michaels Tammy Lynn,1974,American,Actor,L,F,AD,"Michaels, Tammy LynnTammy Lynn Michaels"
 Michelangelo,1475-1564,Italian,"Sculptor, painter",G,M,AD,Michelangelo
 Migden Carole,1948,American,Politician,L,F,AD,"Migden, CaroleCarole Migden"
 Mika,1983,British,Singer-songwriter,G,M,AD,"Mika, Mika"
 Milk Harvey,1930-1978,American,"Politician, LGBT rights activist",G,M,AD,"Milk, HarveyHarvey Milk"
 Millan Lorri,,Canadian,"Performance artists, writers",L,F,AD,"Millan, LorriLorri Millan"
 Millegan Eric,1974,American,Actor,G,M,AD,"Millegan, EricEric Millegan"
 Miller Jacob Joshua,,American,Musicians,G,M,AD,"Miller, Jacob & JoshuaJacob & Joshua Miller"
 Miller Jennifer,1961,American,"Circus entertainer, educator",L,F,AD,"Miller, JenniferJennifer Miller"
 Miller Stephanie,1961,American,"Comedian, radio host",L,F,AD,"Miller, StephanieStephanie Miller"
 Miller Tim,1958,American,Performance artist,G,M,AD,"Miller, TimTim Miller"
 Milligan Andy,1929-1991,American,"Writer, film director",G,M,AD,"Milligan, AndyAndy Milligan"
 Mills Scott,1974,English,DJ,G,M,AD,"Mills, ScottScott Mills"
 Miln Barnaby,1947,British,"Activist, Church of England General Synod and Justice of the Peace",G,M,AD,"Miln, BarnabyBarnaby Miln"
 Milton Simon,1961-2011,English,Politician,G,M,AD,"Milton, SimonSimon Milton"
 Mineo Sal,1939-1976,American,Actor,B,M,AD,"Mineo, SalSal Mineo"
 Miron Leonard,1969,Romanian,"Romanian television and radio presenter, journalist",G,M,AD,"Miron, LeonardLeonard Miron"
 Mistral Gabriela,1889-1957,Chilean,"Poet, educator, diplomat, feminist, Nobel laureate in literature",L,F,AD,"Mistral, GabrielaGabriela Mistral"
 Mitcham Matthew,1988,Australian,Diver,G,M,AD,"Mitcham, MatthewMatthew Mitcham"
 Mitchell John Cameron,1963,American,"Director, actor",G,M,AD,"Mitchell, John CameronJohn Cameron Mitchell"
 Mitropoulos Dimitris,1896-1960,Greek,"Classical conductor, musician and composer",G,M,AD,"Mitropoulos, DimitrisDimitris Mitropoulos"
 Frederic Mitterrand,1946,French,Politician,B,M,AD,Frédéric Mitterrand
 Mixner David,1946,American,"Activist, author",G,M,AD,"Mixner, DavidDavid Mixner"
 Mizeur Heather,1972,American,Politician,L,F,AD,"Mizeur, HeatherHeather Mizeur"
 Mizrahi Isaac,1961,American,Fashion designer,G,M,AD,"Mizrahi, IsaacIsaac Mizrahi"
 Moa Anika,1980,New Zealand,Pop musician,L,F,AD,"Moa, AnikaAnika Moa"
 Moeller Jim,1955,American,Politician,G,M,AD,"Moeller, JimJim Moeller"
 Mohanraj Mary Anne,1971,Sri Lankan,Writer,B,F,AD,"Mohanraj, Mary AnneMary Anne Mohanraj"
 Moire Emmanuel,1979,French,"Singer, composer",G,M,AD,"Moire, EmmanuelEmmanuel Moire"
 Mol Albert,1917-2004,Dutch,"Actor, LGBT activist",G,M,AD,"Mol, AlbertAlbert Mol"
 Molina Foix Vicente,1946,Spanish,"Writer, film director",G,M,AD,"Molina Foix, VicenteVicente Molina Foix"
 Molko Brian,1972,British-American,Rock musician (Placebo),B,M,AD,"Molko, BrianBrian Molko"
 Monette Paul,1945-2005,American,Writer,G,M,AD,"Monette, PaulPaul Monette"
 Montgomery Luke,1974,American,Political activist,G,M,AD,"Montgomery, LukeLuke Montgomery"
 Moonen Matt,,American,Politician,G,M,AD,"Moonen, MattMatt Moonen"
 Moore Frank C,1953-2002,American,"Painter, designer of the AIDS ribbon",G,M,AD,"Moore, Frank C.Frank C. Moore"
 Moore Paul,1919-2003,American,Episcopal Bishop,G,M,AD,"Moore, PaulPaul Moore"
 Moore Perry,1971-2011,American,"Screenwriter, director",G,M,AD,"Moore, PerryPerry Moore"
 Moore Steve,1954-2014,American,Comedian,G,M,AD,"Moore, SteveSteve Moore"
 Mootoo Shani,1958,Irish-born Trinidadian-Canadian,"Author, multimedia artist, painter, video producer",L,F,AD,"Mootoo, ShaniShani Mootoo"
 Moreno Dominick,,American,Politician,G,M,AD,"Moreno, DominickDominick Moreno"
 Morgan Edwin,1920-2010,Scottish,Poet,G,M,AD,"Morgan, EdwinEdwin Morgan"
 Morin Dany,1985,Canadian,Politician,G,M,AD,"Morin, DanyDany Morin"
 Morris Chris,1979,British,"Activist, journalist",G,M,AD,"Morris, ChrisChris Morris"
 Morris Paul,,American,"Porn director, producer",G,M,AD,"Morris, PaulPaul Morris"
 Morrison Rachel,1978,American,Cinematographer,L,F,AD,"Morrison, RachelRachel Morrison"
 Morrison Terry,,American,Politician,G,M,AD,"Morrison, TerryTerry Morrison"
 Moses Daniel David,1952,Canadian,Writer,G,M,AD,"Moses, Daniel DavidDaniel David Moses"
 Mould Bob,1960,American,"Rock musician (Hüsker Dü, Sugar)",G,M,AD,"Mould, BobBob Mould"
 Mullally Megan,1958,American,Actor,B,F,AD,"Mullally, MeganMegan Mullally"
 Munson Ona,1903-1955,American,Actor,L,F,AD,"Munson, OnaOna Munson"
 Munteanu Neculai Constantin,1941,Romanian,Anti-communist dissident,G,M,AD,"Munteanu, Neculai ConstantinNeculai Constantin Munteanu"
 Maefering Mirjam,1969,German,Writer,L,F,AD,"Müntefering, MirjamMirjam Müntefering"
 Munter Alex,1968,Canadian,"Politician, journalist",G,M,AD,"Munter, AlexAlex Munter"
 Man Zeki,1931-1996,Turkish,Actor,G,M,AD,"Müren, ZekiZeki Müren"
 Murphy Diane,1964,American,Actor,L,F,AD,"Murphy, DianeDiane Murphy"
 Murphy Peter,1949,American,Politician,G,M,AD,"Murphy, PeterPeter Murphy"
 Murphy Ryan,1966,American,"Writer, director",G,M,AD,"Murphy, RyanRyan Murphy"
 Murnau F W,1888-1931,German,Director,G,M,AD,"Murnau, F. W.F. W. Murnau"
 Murray Ed,1955,American,Politician,G,M,AD,"Murray, EdEd Murray"
 Murray Glen,1957,Canadian,Politician,G,M,AD,"Murray, GlenGlen Murray"
 Muschamp Herbert,1947-2007,American,Architecture critic,G,M,AD,"Muschamp, HerbertHerbert Muschamp"
 Mutchnick Max,1965,American,Television producer,G,M,AD,"Mutchnick, MaxMax Mutchnick"
 Mwanga I of Buganda,1868-1903,Bugandan,King,G,M,AD,Mwanga II of Buganda
 Myers Billie,1971,English,Pop musician,B,M,AD,"Myers, BillieBillie Myers"
 Nader George,1921-2002,American,"Film, television actor",G,M,AD,"Nader, GeorgeGeorge Nader"
 Nagourney Adam,1954,American,Journalist,G,M,AD,"Nagourney, AdamAdam Nagourney"
 Nairn Kristian,1975,Northern Irish,"Actor, DJ",G,M,AD,"Nairn, KristianKristian Nairn"
 Najimy Kathy,1957,American,Actor,B,F,AD,"Najimy, KathyKathy Najimy"
 Naked Bif,1971,Canadian,"Musician, actor",B,M,AD,"Naked, BifBif Naked"
 Name Billy,1940,American,Photographer,G,M,AD,"Name, BillyBilly Name"
 Nathan Turner John,1947-2002,English,Television producer,G,M,AD,"Nathan-Turner, JohnJohn Nathan-Turner"
 Nava Michael,1954,American,Writer,G,M,AD,"Nava, MichaelMichael Nava"
 Navarre Yves,1940-1994,French,Writer,G,M,AD,"Navarre, YvesYves Navarre"
 Navratilova Martina,1956,Czech,Tennis player,L,F,AD,"Navratilova, MartinaMartina Navratilova"
 Nazimova Alla,1879-1945,Ukrainian,Actor,B,F,AD,"Nazimova, AllaAlla Nazimova"
 Ndegeocello Me'shell,1968,American,Musician,B,M,AD,"Ndegeocello, Me'shellMe'shell Ndegeocello"
 Nebbeling Ted,1943-2009,Canadian,Politician,G,M,AD,"Nebbeling, TedTed Nebbeling"
 Negin Louis,,Canadian,"Actor, playwright",G,M,AD,"Negin, LouisLouis Negin"
 Negoi �escu Ion,1921-1993,Romanian,"literary historian, critic, poet, novelist and memoirist",G,M,AD,"Negoiţescu, IonIon Negoiţescu"
 Nelson Kenneth,1930-1993,American,Actor,G,M,AD,"Nelson, KennethKenneth Nelson"
 Nelson Mike,,American,Politician,G,M,AD,"Nelson, MikeMike Nelson"
 Nepela Ondrej,1951-1989,Slovak,Figure skater,G,M,AD,"Nepela, OndrejOndrej Nepela"
 Nes Adi,1966,Israeli,Photographer,G,M,AD,"Nes, AdiAdi Nes"
 Nesselbush Donna,1962,American,"Politician, lawyer, judge",L,F,AD,"Nesselbush, DonnaDonna Nesselbush"
 Nestle Joan,1940,American,"Activist, writer",L,F,AD,"Nestle, JoanJoan Nestle"
 Newman Leslea,1955,American,Writer,L,F,AD,"Newman, LesléaLesléa Newman"
 Newton Robert,1981,English,Athlete,G,M,AD,"Newton, RobertRobert Newton"
 Newton Davis Billy,1951,Canadian,Musician,G,M,AD,"Newton-Davis, BillyBilly Newton-Davis"
 Ngongang Joel Gustave Nana,1982,Cameroon,AIDS activist,G,M,AD,"Ngongang, Joel Gustave NanaJoel Gustave Nana Ngongang"
 Nicholls Sheila,1970,English,Musician,L,F,AD,"Nicholls, SheilaSheila Nicholls"
 Nichols Beverley,1898-1983,English,"Playwright, actor, novelist, composer",G,M,AD,"Nichols, BeverleyBeverley Nichols"
 Nichols Jack,1938-2005,American,"Writer, LGBT rights activist",G,M,AD,"Nichols, JackJack Nichols"
 Nicholson John Gambril,1866-1931,English,"Schoolteacher, Uranian poet",G,M,AD,"Nicholson, John GambrilJohn Gambril Nicholson"
 Nickerson Bruce William,1941,American,Lawyer,G,M,AD,"Nickerson, Bruce WilliamBruce William Nickerson"
 Nicole Jasika,1980,American,Actor,L,F,AD,"Nicole, JasikaJasika Nicole"
 Nicoletta Daniel,1954,American,"Photographer, LGBT rights activist",G,M,AD,"Nicoletta, DanielDaniel Nicoletta"
 Nicolson Harold,1886-1968,English,"Diplomat, author",B,M,AD,"Nicolson, HaroldHarold Nicolson"
 Niedwiecki Anthony,1967,American,"Law professor, LGBT activist, politician",G,M,AD,"Niedwiecki, AnthonyAnthony Niedwiecki"
 Nihilson Deke,1968,American,"Musician, anarchist",G,M,AD,"Nihilson, DekeDeke Nihilson"
 Nikolais Alwin,1910-1993,American,"Dancer, choreographer, composer",G,M,AD,"Nikolais, AlwinAlwin Nikolais"
 Nilsen Dennis,1945,Scottish,Serial killer,G,M,AD,"Nilsen, DennisDennis Nilsen"
 Nilsen Ingrid,1989,American,YouTube personality,L,F,AD,"Nilsen, IngridIngrid Nilsen"
 Nin Anaanaa,1903-1977,American,Diarist,B,F,AD,"Nin, AnaïsAnaïs Nin"
 Ninja Willi,1961-2006,American,"Dancer, choreographer",G,M,AD,"Ninja, WilliWilli Ninja"
 Nixon Cynthia,1966,American,Actor,B,F,AD,"Nixon, CynthiaCynthia Nixon"
 Nijinsky Vaslav,1889-1950,Russian,Dancer,B,M,AD,"Nijinsky, VaslavVaslav Nijinsky"
 Nkoli Simon,1957-1998,South African,AIDS and LGBT rights activist.,G,M,AD,"Nkoli, SimonSimon Nkoli"
 Noble Elaine,1944,American,"Politician, activist",L,F,AD,"Noble, ElaineElaine Noble"
 Nolan Anna,1970,Irish,Television presenter,L,F,AD,"Nolan, AnnaAnna Nolan"
 Nolan Faith,1957,Canadian,Singer/songwriter,L,F,AD,"Nolan, FaithFaith Nolan"
 Nolan Richard T,1937,American,"Philosopher, Episcopal Canon, Author",L,F,AD,"Nolan, Richard T.Richard T. Nolan"
 Noll Lou B Bink,1927-1986,American,Poet,L,F,AD,"Noll, Lou B. (""Bink"")Lou B. (""Bink"") Noll"
 Nomi Klaus,1944-1983,German,Musician,G,M,AD,"Nomi, KlausKlaus Nomi"
 Nordby Bente,1974,Norwegian,Football (soccer) player,L,F,AD,"Nordby, BenteBente Nordby"
 Nordin Siiri,1980,Finnish,Musician,L,F,AD,"Nordin, SiiriSiiri Nordin"
 Norman Peg,1964,Canadian,"Filmmaker, politician",L,F,AD,"Norman, PegPeg Norman"
 Normington John,1937-2007,English,Actor,G,M,AD,"Normington, JohnJohn Normington"
 Norris Colin,1976,English,Serial killer,G,M,AD,"Norris, ColinColin Norris"
 Norris David,1944,Irish,Civil rights campaigner,G,M,AD,"Norris, DavidDavid Norris"
 Norse Harold,1916-2009,American,Writer,G,M,AD,"Norse, HaroldHarold Norse"
 Kevin and Don Norte,1962,American,Politicians,G,M,AD,Norte Kevin !Kevin and Don Norte
 Norton Graham,1963,Irish,"Talk show host, comedian, actor",G,M,AD,"Norton, GrahamGraham Norton"
 Norton Keith,1941,Canadian,Politician,G,M,AD,"Norton, KeithKeith Norton"
 Norton Scott,1982,American,"Professional bowler, attorney",G,M,AD,"Norton, ScottScott Norton"
 Notley Smith Bruce,1964,Australian,Politician,G,M,AD,"Notley-Smith, BruceBruce Notley-Smith"
 Novarro Ramon,1899-1968,Mexican,Actor,G,M,AD,"Novarro, RamónRamón Novarro"
 Novello Ivor,1893-1951,Welsh,"Actor, composer, musician",G,M,AD,"Novello, IvorIvor Novello"
 Novo Salvador,1904-1974,Mexican,"Poet, playwright",G,M,AD,"Novo, SalvadorSalvador Novo"
 Nri Cyril,1961,Nigerian,Actor,G,M,AD,"Nri, CyrilCyril Nri"
 Nugent Richard Bruce,1906-1987,American,Author,G,M,AD,"Nugent, Richard BruceRichard Bruce Nugent"
 Nureyev Rudolf,1938-1993,Russian,Dancer,G,M,AD,"Nureyev, RudolfRudolf Nureyev"
 Nuwas Abu,756-814,Arab/ Persian,Classical Arabic Poet,G,M,AD,"Nuwas, AbuAbu Nuwas"
 Nyberg Katja,1979,Norwegian,Handball player,L,F,AD,"Nyberg, KatjaKatja Nyberg"
 Nyad Diana,1949,American,Swimmer,L,F,AD,"Nyad, DianaDiana Nyad"
 Nyswaner Ron,1956,American,"Screenwriter, film director",G,M,AD,"Nyswaner, RonRon Nyswaner"
 O Rachid,1970,Moroccan,Writer,G,M,AD,"O., RachidRachid O."
aearcaigh  Cathal,1956,Irish,Poet,G,M,AD,"Ó Searcaigh, CathalCathal Ó Searcaigh"
 Oakley Ed,,American,Politician,G,M,AD,"Oakley, EdEd Oakley"
 Oakley Tyler,1989,American,YouTube personality,G,M,AD,"Oakley, TylerTyler Oakley"
 Obejas Achy,1956,Cuban,Writer,G,M,AD,"Obejas, AchyAchy Obejas"
 Graeme Obree,1965,Scottish,Cyclist,G,M,AD,Graeme Obree
 O' Byrne Charles J,1964,American,"Politician, ex-Priest",G,M,AD,"O'Byrne, Charles J.Charles J. O'Byrne"
 Ocean Frank,1987,American,"Rapper, singer",B,M,AD,"Ocean, FrankFrank Ocean"
 Ochs Robyn,1958,American,"Activist, writer",B,F,AD,"Ochs, RobynRobyn Ochs"
 O' Connor Sinead,1966,Irish,Musician,B,M,AD,"O'Connor, SinéadSinéad O'Connor"
 Odeman Robert,1904-1985,German,"Pianist, composer",G,M,AD,"Odeman, RobertRobert Odeman"
 O' Donnell Daniel,1960,American,Politician,G,M,AD,"O'Donnell, DanielDaniel O'Donnell"
 O' Donnell Rosie,1962,American,"Comedian, talk show host, actor",L,F,AD,"O'Donnell, RosieRosie O'Donnell"
 O' Gorman Colm,1966,Irish,Executive Director of Amnesty International in Ireland,G,M,AD,"O'Gorman, ColmColm O'Gorman"
 O' Grady Paul,1955,English,"Comedian, TV host",G,M,AD,"O'Grady, PaulPaul O'Grady"
 O' Grady Paul,1960,Australian,Politician,G,M,AD,"O'Grady, PaulPaul O'Grady"
 O' Hara Frank,1926-1966,American,Poet,G,M,AD,"O'Hara, FrankFrank O'Hara"
 O' Hare Denis,1962,American,Actor,G,M,AD,"O'Hare, DenisDenis O'Hare"
 Ohlson Elisabeth,1961,Swedish,Photographer,L,F,AD,"Ohlson, ElisabethElisabeth Ohlson"
 Olague Christina,1961,American,Politician,B,F,AD,"Olague, ChristinaChristina Olague"
 O' Leary Jean,1948-2005,American,Lesbian rights activist,L,F,AD,"O'Leary, JeanJean O'Leary"
 Oldfield Maurice,1915-1981,English,Intelligence officer,G,M,AD,"Oldfield, MauriceMaurice Oldfield"
 Olexander Andrew,1965,Australian,Politician,G,M,AD,"Olexander, AndrewAndrew Olexander"
 Oliver David,1962-1991,American,Actor,G,M,AD,"Oliver, DavidDavid Oliver"
 Oliver Mary,1935,American,Poet,L,F,AD,"Oliver, MaryMary Oliver"
 Oliveros Pauline,1932,American,"Accordionist, composer",L,F,AD,"Oliveros, PaulinePauline Oliveros"
 Olivier Laurence,1907-1989,British,Actor,B,M,AD,"Olivier, LaurenceLaurence Olivier"
 Olmert Dana,1972,Israeli,Professor,L,F,AD,"Olmert, DanaDana Olmert"
 O' Lovely Olivia,1976,American,Porn star,B,F,AD,"O'Lovely, OliviaOlivia O'Lovely"
 Olsdal Stefan,1974,Swedish,Musician (Placebo),G,M,AD,"Olsdal, StefanStefan Olsdal"
 Olsen Bree,1986,American,Former porn star,B,F,AD,"Olsen, BreeBree Olsen"
 Olsen Mark V,1962,American,Screenwriter and television producer,G,M,AD,"Olsen, Mark V.Mark V. Olsen"
 O' Meara Ryan,1984,American,Ice dancer and figure skating coach,G,M,AD,"O'Meara, RyanRyan O'Meara"
 Ondine,1937-1989,American,Actor,G,M,AD,Ondine !Ondine
 O' Neill Jamie,1962,Irish,Writer,G,M,AD,"O'Neill, JamieJamie O'Neill"
 Ong Han,1968,Filipino-American,"Novelist, playwright",G,M,AD,"Ong, HanHan Ong"
 O' Regan Seamus,1971,Canadian,Broadcast journalist,G,M,AD,"O'Regan, SeamusSeamus O'Regan"
 Origliasso Jessica,1984,Australian,"Lead singer in The Veronicas, animal rights spokeswoman",B,F,AD,"Origliasso, JessicaJessica Origliasso"
 Orman Suze,1951,American,"Personal finance guru, talk show host, author",L,F,AD,"Orman, SuzeSuze Orman"
 Orner Eric,,American,Cartoonist,G,M,AD,"Orner, EricEric Orner"
 Orser Brian,1961,Canadian,Olympic figure skater,G,M,AD,"Orser, BrianBrian Orser"
 Orton Joe,1933-1967,British,Playwright,G,M,AD,"Orton, JoeJoe Orton"
 Osbourne Sharon,1952,British,"Television host, media personality, television talent competition judge, author, music manager, businesswoman, promoter",B,F,AD,"Osbourne, SharonSharon Osbourne"
 Oshiro Blake,1970,American,Politician,G,M,AD,"Oshiro, BlakeBlake Oshiro"
 Otsuji Kanako,1974,Japanese,Japan's first openly lesbian politician,L,F,AD,"Otsuji, KanakoKanako Otsuji"
 Outen Sarah,1985,English,"Athlete, adventurer",L,F,AD,"Outen, SarahSarah Outen"
 Oversby Alan,1933-1996,English,Body modification pioneer,G,M,AD,"Oversby, AlanAlan Oversby"
 Owen Sean Ethan,1981-2004,American,Murder victim,G,M,AD,"Owen, Sean EthanSean Ethan Owen"
 Owen Wilfred,1893-1918,English,Poet and soldier,G,M,AD,"Owen, WilfredWilfred Owen"
 Owens Nigel,1971,Welsh,International rugby union referee,G,M,AD,"Owens, NigelNigel Owens"
 Owens Rick,1962,American,Fashion designer,G,M,AD,"Owens, RickRick Owens"
 Oxford Jeanette Mott,1954,American,Missouri's first openly lesbian state legislator,L,F,AD,"Oxford, Jeanette MottJeanette Mott Oxford"
 Ozon Franas,1967,French,"Film director, screenwriter",G,M,AD,"Ozon, FrançoisFrançois Ozon"
aetek  Ferzan,1959,Turkish,Filmmaker,G,M,AD,"Özpetek, FerzanFerzan Özpetek"
 Paddick Brian,1958,English,"Police officer, politician",G,M,AD,"Paddick, BrianBrian Paddick"
 Paddick Hugh,1915-2000,English,Actor,G,M,AD,"Paddick, HughHugh Paddick"
 Padilla Rustom,1965,Filipino,Actor,G,M,AD,"Padilla, RustomRustom Padilla"
 Padilla Steve,1967,American,Politician,G,M,AD,"Padilla, SteveSteve Padilla"
 Paglia Camille,1947,American,Teacher and social critic,L,F,AD,"Paglia, CamilleCamille Paglia"
 Page Ellen,1987,Canadian,Actress,L,F,AD,"Page, EllenEllen Page"
 Page Ken,1954,American,Actor,G,M,AD,"Page, KenKen Page"
 Paisley David,1979,Scottish,Actor,G,M,AD,"Paisley, DavidDavid Paisley"
 Palacio James,,American,Actor,G,M,AD,"Palacio, JamesJames Palacio"
 Palahniuk Chuck,1962,American,Writer,G,M,AD,"Palahniuk, ChuckChuck Palahniuk"
 Pallenberg Anita,1944,German,"Model, actor and fashion designer",B,F,AD,"Pallenberg, AnitaAnita Pallenberg"
 Pallett Owen,1981,Canadian,Musician,G,M,AD,"Pallett, OwenOwen Pallett"
 Pallone Dave,1951,American,Major League umpire,G,M,AD,"Pallone, DaveDave Pallone"
 Palmer Alisa,,Canadian,"Theatre director, playwright",L,F,AD,"Palmer, AlisaAlisa Palmer"
 Palmer Amanda,1976,American,Musician,B,F,AD,"Palmer, AmandaAmanda Palmer"
 Palmer Tom G,1956,American,Writer,G,M,AD,"Palmer, Tom G.Tom G. Palmer"
 Palmer Zoie,1977,English-Canadian,Actress,L,F,AD,"Palmer, ZoieZoie Palmer"
 Pancake Sam,,American,Actor,G,M,AD,"Pancake, SamSam Pancake"
 Panozzo Chuck,1948,American,Musician,G,M,AD,"Panozzo, ChuckChuck Panozzo"
 Pant Sunil Babu,1972,Nepalese,Politician,G,M,AD,"Pant, Sunil BabuSunil Babu Pant"
 Pantoja Antonia,1922-2002,American,"Educator, social worker",L,F,AD,"Pantoja, AntoniaAntonia Pantoja"
 Panych Morris,1952,Canadian,Playwright,G,M,AD,"Panych, MorrisMorris Panych"
 Panzi,1954,American,"Businessperson, LGBT rights activist",G,M,AD,Panzi
 Papaioannou Dimitris,1964,Greek,"Theatre director, choreographer, visual artist",G,M,AD,"Papaioannou, DimitrisDimitris Papaioannou"
 Pappas Chris,,American,Politician,G,M,AD,"Pappas, ChrisChris Pappas"
 Paquin Anna,1982,New Zealander,Actor,B,F,AD,"Paquin, AnnaAnna Paquin"
 Paraskeva Janet,1946,English,Civil servant,L,F,AD,"Paraskeva, JanetJanet Paraskeva"
 Paris Bob,1959,American,Bodybuilder,G,M,AD,"Paris, BobBob Paris"
 Parker Annise,1956,American,Politician,L,F,AD,"Parker, AnniseAnnise Parker"
 Parks Alex,1984,English,"Musician, songwriter",L,F,AD,"Parks, AlexAlex Parks"
