"Name","Lifetime","Nationality","Notable.as","Orientation","Sex","Era","Name.old","Partners","Link"
" Allen Ted","1965","American","Food and wine connoisseur","G","M","AD","Allen, TedTed Allen","Barry Rice (m. 2013)[2]","https://en.wikipedia.org/wiki/Ted_Allen"
" Allers Christian Wilhelm","1857-1915","German","Painter","G","M","AD","Allers, Christian WilhelmChristian Wilhelm Allers","0","https://en.wikipedia.org/wiki/Christian_Wilhelm_Allers"
" Alley Henry","1944","American","Author, academic","G","M","AD","Alley, HenryHenry Alley","0","https://en.wikipedia.org/wiki/Henry_Alley"
" Alli Waheed Baron","1964","British","Businessman, first openly gay peer in Parliament","G","M","AD","Alli, Waheed Alli, BaronWaheed Alli, Baron Alli","0","0"
" Allison Dorothy","1949","American","Writer","L","F","AD","Allison, DorothyDorothy Allison","Alix Layman","https://en.wikipedia.org/wiki/Dorothy_Allison"
" Allman Eric","1955","American","Computer programmer","G","M","AD","Allman, EricEric Allman","Marshall Kirk McKusick","https://en.wikipedia.org/wiki/Eric_Allman"
" Almasy Laszlo","1895-1951","Hungarian","Explorer, spy","G","M","AD","Almasy, LaszloLászló Almásy","0","https://en.wikipedia.org/wiki/Laszlo_Almasy"
" Almodovar Pedro","1949","Spanish","Filmmaker","G","M","AD","Almodóvar, PedroPedro Almodóvar","0","https://en.wikipedia.org/wiki/Pedro_Almodovar"
" Almond Marc","1957","British","Rock musician","G","M","AD","Almond, MarcMarc Almond","0","https://en.wikipedia.org/wiki/Marc_Almond"
" Alonzo Anne Marie","1951-2005","Canadian","Writer","L","F","AD","Alonzo, Anne-MarieAnne-Marie Alonzo","0","0"
" Alsop Joseph","1910-1989","American","Journalist","G","M","AD","Alsop, JosephJoseph Alsop","0","https://en.wikipedia.org/wiki/Joseph_Alsop"
" Althans Bela Ewald","1966","German","Neo-Nazi activist","G","M","AD","Althans, Bela EwaldBela Ewald Althans","0","https://en.wikipedia.org/wiki/Bela_Ewald_Althans"
" Altman Dennis","1943","Australian","Academic, LGBT rights activist","G","M","AD","Altman, DennisDennis Altman","0","https://en.wikipedia.org/wiki/Dennis_Altman"
" Luisa Isabel aarez de Toledo 21st Duchess of Medina Sidonia","1936-2008","Spanish","21st Duchess of Medina Sidonia","L","F","AD","Alvarez, Luisa !Luisa Isabel Álvarez de Toledo, 21st Duchess of Medina Sidonia","0","0"
" Amaechi John","1970","British","Basketball player, broadcaster","G","M","AD","Amaechi, JohnJohn Amaechi","0","https://en.wikipedia.org/wiki/John_Amaechi"
" Amedure Scott","1963-1995","American","""Jenny Jones Murder"" victim","G","M","AD","Amedure, ScottScott Amedure","0","https://en.wikipedia.org/wiki/Scott_Amedure"
" Amenabar Alejandro","1972","Spanish","Filmmaker","G","M","AD","Amenábar, AlejandroAlejandro Amenábar","David Blanco (m. 2015)","https://en.wikipedia.org/wiki/Alejandro_Amenabar"
" Ames David","1983","British","Actor","G","M","AD","Ames, DavidDavid Ames","0","https://en.wikipedia.org/wiki/David_Ames"
" Ammiano Tom","1941","American","San Francisco City Supervisor, comedian","G","M","AD","Ammiano, TomTom Ammiano","Tim Curbo (deceased)","https://en.wikipedia.org/wiki/Tom_Ammiano"
" Amos Stephen K","","British","Comedian","G","M","AD","Amos, Stephen K.Stephen K. Amos","0","https://en.wikipedia.org/wiki/Stephen_K_Amos"
" Amstell Simon","1979","British","Comedian, television presenter","G","M","AD","Amstell, SimonSimon Amstell","0","https://en.wikipedia.org/wiki/Simon_Amstell"
" Andelson Sheldon","1931-1988","American","Politician","G","M","AD","Andelson, SheldonSheldon Andelson","0","https://en.wikipedia.org/wiki/Sheldon_Andelson"
" Anderson Brett","1967","British","Rock musician (Suede)","B","M","AD","Anderson, BrettBrett Anderson","0","https://en.wikipedia.org/wiki/Brett_Anderson"
" Anderson Gordon Stewart","1958-1991","Canadian","Writer","G","M","AD","Anderson, Gordon StewartGordon Stewart Anderson","0","https://en.wikipedia.org/wiki/Gordon_Stewart_Anderson"
" Anderson Jane","1954","American","Actress, playwright, director","L","F","AD","Anderson, JaneJane Anderson","Tess Ayers","https://en.wikipedia.org/wiki/Jane_Anderson"
" Anderson Lindsay","1923-1994","British","Film director","G","M","AD","Anderson, LindsayLindsay Anderson","0","https://en.wikipedia.org/wiki/Lindsay_Anderson"
" Anderson Ruth","1928","American","Composer","L","F","AD","Anderson, RuthRuth Anderson","0","https://en.wikipedia.org/wiki/Ruth_Anderson"
" Andrade Mario de","1893-1945","Brazilian","Writer","G","M","AD","Andrade, Mário deMário de Andrade","0","https://en.wikipedia.org/wiki/Mario_de_Andrade"
" Andrews Harry","1911-1989","British","Actor","G","M","AD","Andrews, HarryHarry Andrews","Basil Hoskins","https://en.wikipedia.org/wiki/Harry_Andrews"
