Name,Lifetime,Nationality,Notable.as,Orientation,Sex,Era,Name.old,Partners,Link
 Allen Ted,1965,American,Food and wine connoisseur,G,M,AD,"Allen, TedTed Allen",NA,https://en.wikipedia.org/wiki/Ted_Allen
 Allers Christian Wilhelm,1857-1915,German,Painter,G,M,AD,"Allers, Christian WilhelmChristian Wilhelm Allers",NA,https://en.wikipedia.org/wiki/Christian_Wilhelm_Allers
 Alley Henry,1944,American,"Author, academic",G,M,AD,"Alley, HenryHenry Alley",NA,https://en.wikipedia.org/wiki/Henry_Alley
 Alli Waheed Baron,1964,British,"Businessman, first openly gay peer in Parliament",G,M,AD,"Alli, Waheed Alli, BaronWaheed Alli, Baron Alli",NA,0
 Allison Dorothy,1949,American,Writer,L,F,AD,"Allison, DorothyDorothy Allison",NA,https://en.wikipedia.org/wiki/Dorothy_Allison
 Allman Eric,1955,American,Computer programmer,G,M,AD,"Allman, EricEric Allman",NA,https://en.wikipedia.org/wiki/Eric_Allman
 Almasy Laszlo,1895-1951,Hungarian,"Explorer, spy",G,M,AD,"Almasy, LaszloLászló Almásy",NA,https://en.wikipedia.org/wiki/Laszlo_Almasy
 Almodovar Pedro,1949,Spanish,Filmmaker,G,M,AD,"Almodóvar, PedroPedro Almodóvar",NA,https://en.wikipedia.org/wiki/Pedro_Almodovar
 Almond Marc,1957,British,Rock musician,G,M,AD,"Almond, MarcMarc Almond",NA,https://en.wikipedia.org/wiki/Marc_Almond
 Alonzo Anne Marie,1951-2005,Canadian,Writer,L,F,AD,"Alonzo, Anne-MarieAnne-Marie Alonzo",NA,0
 Alsop Joseph,1910-1989,American,Journalist,G,M,AD,"Alsop, JosephJoseph Alsop",NA,https://en.wikipedia.org/wiki/Joseph_Alsop
 Althans Bela Ewald,1966,German,Neo-Nazi activist,G,M,AD,"Althans, Bela EwaldBela Ewald Althans",NA,https://en.wikipedia.org/wiki/Bela_Ewald_Althans
 Altman Dennis,1943,Australian,"Academic, LGBT rights activist",G,M,AD,"Altman, DennisDennis Altman",NA,https://en.wikipedia.org/wiki/Dennis_Altman
